id,u,v,geometry,total_tracks,list_tracks,weight
1477,281942484,281942549,"LINESTRING (2.6753761 42.4842758, 2.675413 42.4844034, 2.6754326 42.4844414, 2.6754659 42.4844795, 2.6755155 42.4844885, 2.6755164 42.4845745, 2.675544 42.4846085)",1,['187697056'],1
1478,281942484,281942518,"LINESTRING (2.6753761 42.4842758, 2.6754173 42.4842593, 2.6754232 42.4842247, 2.6753786 42.4841922, 2.6753145 42.4841437, 2.6751306 42.4840866, 2.6750255 42.484062)",1,['187697056'],1
1479,281942487,11019950035,"LINESTRING (2.6744729 42.4845621, 2.67445 42.484533, 2.6744158 42.4845011)",1,['187697056'],1
1480,281942487,281942555,"LINESTRING (2.6744729 42.4845621, 2.6743731 42.4846057, 2.6743498 42.4846265)",1,['187697056'],1
1482,281942493,7079527834,"LINESTRING (2.6735467 42.4837528, 2.6736784 42.4838252, 2.6737632 42.4838583)",1,['187697056'],1
1483,281942499,281942501,"LINESTRING (2.6742775 42.4840257, 2.6744832 42.4840476)",1,['187697056'],1
1484,281942499,7079527834,"LINESTRING (2.6742775 42.4840257, 2.6742321 42.4839936, 2.6740319 42.4839319, 2.6739344 42.4839013, 2.6738037 42.4838713, 2.6737632 42.4838583)",1,['187697056'],1
1485,281942499,11020173972,"LINESTRING (2.6742775 42.4840257, 2.6741946 42.484171, 2.674094 42.4841468, 2.6740564 42.4841423, 2.6739726 42.484081, 2.673862 42.4840239)",1,['187697056'],1
1486,281942501,281942508,"LINESTRING (2.6744832 42.4840476, 2.6745309 42.4840617, 2.6746996 42.484043, 2.6748513 42.4840435, 2.6749492 42.4840833)",1,['187697056'],1
1487,281942501,281942509,"LINESTRING (2.6744832 42.4840476, 2.6745038 42.4839506)",1,['187697056'],1
1488,281942508,281942518,"LINESTRING (2.6749492 42.4840833, 2.6750255 42.484062)",1,['187697056'],1
1489,281942509,281942517,"LINESTRING (2.6745038 42.4839506, 2.6746519 42.4839414, 2.6748253 42.483946, 2.674894 42.483982, 2.6750354 42.4840214)",1,['187697056'],1
1490,281942517,281942518,"LINESTRING (2.6750354 42.4840214, 2.6750255 42.484062)",1,['187697056'],1
1491,281942517,1664669894,"LINESTRING (2.6750354 42.4840214, 2.6753751 42.484118, 2.6755425 42.4841547, 2.675684 42.4842076, 2.6758186 42.4842961)",1,['187697056'],1
1492,281942521,281942526,"LINESTRING (2.6751442 42.4842291, 2.6751666 42.4842683, 2.67518 42.4843634, 2.6751115 42.484592)",1,['187697056'],1
1493,281942521,11019950037,"LINESTRING (2.6751442 42.4842291, 2.6751196 42.4842284, 2.6749514 42.4842123, 2.6748798 42.484205, 2.6746841 42.4842359, 2.6745815 42.4842832)",1,['187697056'],1
1494,281942526,281942549,"LINESTRING (2.675544 42.4846085, 2.6753074 42.4845933, 2.6751115 42.484592)",1,['187697056'],1
1495,281942528,281942549,"LINESTRING (2.6758059 42.4849382, 2.675703 42.4847429, 2.675544 42.4846085)",1,['187697056'],1
1496,281942528,281942600,"LINESTRING (2.6758059 42.4849382, 2.6757964 42.4850131, 2.675773 42.4852175)",1,['187697056'],1
1497,281942528,1664669894,"LINESTRING (2.6758059 42.4849382, 2.6759581 42.4848628, 2.6759709 42.4847483, 2.6758483 42.4844822, 2.6758206 42.4844225, 2.6758186 42.4842961)",1,['187697056'],1
1498,281942544,11019950051,"LINESTRING (2.6744934 42.4851416, 2.6741919 42.4848916)",1,['187697056'],1
1499,281942544,281942606,"LINESTRING (2.6744934 42.4851416, 2.6745317 42.4851709, 2.6746241 42.4854254, 2.6747818 42.4857242, 2.6750693 42.4860856, 2.6751427 42.4861957, 2.675273 42.4862403, 2.6754531 42.4862453, 2.675701 42.4862432, 2.6761531 42.4862217, 2.6762114 42.4861787, 2.6762056 42.4861228, 2.6761501 42.4860797, 2.6760043 42.486069, 2.6754823 42.486069, 2.675354 42.4860324, 2.6753452 42.4859701, 2.675385 42.485904)",1,['187697056'],1
